id	symbol	desc	biotype	num_transcripts	num_coding_transcripts	num_introns	H+.M+.25.0_vs_H+.M+.37.10.worst_fdr	H+.M+.25.0_vs_H+.M+.37.10.log2fc	H+.M+.25.0_vs_H+.M+.37.40.worst_fdr	H+.M+.25.0_vs_H+.M+.37.40.log2fc	H+.M+.25.0_vs_H+.M+.42.10.worst_fdr	H+.M+.25.0_vs_H+.M+.42.10.log2fc	H+.M+.25.0_vs_H+.M+.42.40.worst_fdr	H+.M+.25.0_vs_H+.M+.42.40.log2fc	H+.M-.25.0_vs_H+.M-.37.10.worst_fdr	H+.M-.25.0_vs_H+.M-.37.10.log2fc	H+.M-.25.0_vs_H+.M-.37.40.worst_fdr	H+.M-.25.0_vs_H+.M-.37.40.log2fc	H+.M-.25.0_vs_H+.M-.42.10.worst_fdr	H+.M-.25.0_vs_H+.M-.42.10.log2fc	H+.M-.25.0_vs_H+.M-.42.40.worst_fdr	H+.M-.25.0_vs_H+.M-.42.40.log2fc	H-.M+.25.0_vs_H-.M+.37.10.worst_fdr	H-.M+.25.0_vs_H-.M+.37.10.log2fc	H-.M+.25.0_vs_H-.M+.37.40.worst_fdr	H-.M+.25.0_vs_H-.M+.37.40.log2fc	H-.M+.25.0_vs_H-.M+.42.10.worst_fdr	H-.M+.25.0_vs_H-.M+.42.10.log2fc	H-.M+.25.0_vs_H-.M+.42.40.worst_fdr	H-.M+.25.0_vs_H-.M+.42.40.log2fc	H-.M-.25.0_vs_H-.M-.37.10.worst_fdr	H-.M-.25.0_vs_H-.M-.37.10.log2fc	H-.M-.25.0_vs_H-.M-.37.40.worst_fdr	H-.M-.25.0_vs_H-.M-.37.40.log2fc	H-.M-.25.0_vs_H-.M-.42.10.worst_fdr	H-.M-.25.0_vs_H-.M-.42.10.log2fc	H-.M-.25.0_vs_H-.M-.42.40.worst_fdr	H-.M-.25.0_vs_H-.M-.42.40.log2fc
YOR195W	SLK19	Kinetochore-associated protein required for normal segregation of chromosomes in meiosis and mitosis; component of the FEAR regulatory network, which promotes Cdc14p release from the nucleolus during anaphase; potential Cdc28p substrate	protein_coding	1	1	0	0.659	-0.350	0.424	-0.307	0.158	-0.609	0.538	-0.210	1.000	0.000e+00	1.000	-0.114	0.155	0.587	0.727	0.121	0.363	-0.665	0.044	-1.103	0.926	-0.229	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.814	0.085	0.049	0.747
YJL064W	YJL064W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps the verified gene YJL065C/DLS1	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	3.095e-04	4.392	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.727e-04	3.801
YJL197W	UBP12	Ubiquitin carboxyl-terminal hydrolase, ubiquitin-specific protease present in the nucleus and cytoplasm that cleaves ubiquitin from ubiquitinated proteins	protein_coding	1	1	0	0.006	-0.999	0.008	-0.420	0.003	-0.886	5.339e-05	-1.067	0.007	-0.593	0.031	-0.387	0.014	-0.756	3.885e-04	-1.009	0.995	-0.091	0.156	-0.399	0.044	-0.618	0.044	-0.606	0.816	-0.158	0.480	-0.176	0.328	-0.256	0.007	-0.745
YMR304C-A	YMR304C-A	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene SCW10	protein_coding	1	1	0	0.410	-0.229	1.000	-0.049	1.000	0.000e+00	5.339e-05	-1.507	0.182	-0.270	0.076	-0.287	0.869	-0.117	0.009	-0.522	0.069	-0.634	3.328e-04	-2.273	0.545	-0.218	0.001	-1.482	0.650	-0.296	0.027	-0.736	1.000	-0.149	0.225	-0.340
YDR375C	BCS1	Mitochondrial protein of the AAA ATPase family; has ATP-dependent chaperone activity; required for assembly of Rip1p and Qcr10p into cytochrome bc(1) complex; mutations in human homolog BCS1L are linked to neonatal mitochondrial diseases	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.026	0.018	-0.494	1.000	0.000e+00	0.167	-0.224	0.032	-0.319	0.002	-0.941	0.005	-0.521	1.000	0.064	1.000	0.063	0.151	-0.353	1.000	0.000e+00	0.948	-0.133	0.109	-0.359	0.023	-0.607	0.059	-0.406
YLR303W	MET17	Methionine and cysteine synthase (O-acetyl homoserine-O-acetyl serine sulfhydrylase), required for sulfur amino acid synthesis	protein_coding	1	1	0	0.223	-0.239	0.856	0.077	0.383	-0.202	0.438	-0.150	0.176	-0.244	0.884	-0.140	0.077	-0.460	0.304	0.138	0.093	-0.500	0.686	-0.120	0.305	-0.322	0.030	-0.515	1.000	-0.175	1.000	0.000e+00	0.508	-0.330	1.000	0.000e+00
YER080W	AIM9	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss	protein_coding	1	1	0	0.017	0.502	0.242	0.175	0.572	0.120	1.000	0.000e+00	0.136	0.256	0.627	0.079	0.720	-0.125	0.002	-0.509	1.000	0.048	1.000	0.000e+00	1.000	0.000e+00	0.300	-0.268	1.000	-0.034	0.347	-0.241	0.190	-0.346	7.686e-04	-0.922
YJL065C	DLS1	Subunit of ISW2/yCHRAC chromatin accessibility complex along with Itc1p, Isw2p, and Dpb4p; involved in inheritance of telomeric silencing	protein_coding	1	1	0	1.000	0.000e+00	0.505	0.161	1.000	0.000e+00	0.625	-0.102	0.506	-0.144	1.000	0.013	0.763	-0.167	0.110	-0.291	1.000	0.000e+00	0.554	-0.218	1.000	-0.012	0.125	-0.401	1.000	0.000e+00	1.000	0.000e+00	0.695	-0.185	0.053	-0.583
YLR437C	DIF1	Protein that regulates the nuclear localization of ribonucleotide reductase Rnr2p and Rnr4p subunits; phosphorylated by Dun1p in response to DNA damage and degraded; N-terminal half has similarity to S. pombe Spd1 protein	protein_coding	1	1	0	0.533	0.461	0.141	0.434	2.316e-04	1.445	0.004	0.872	0.064	0.571	0.075	0.459	0.011	0.940	0.866	0.050	0.294	0.419	0.167	-0.473	0.007	1.064	1.000	0.000e+00	0.327	0.639	0.266	-0.611	0.022	1.024	1.000	-0.196
YLR304C	ACO1	Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy	protein_coding	1	1	0	0.094	0.334	1.000	-0.030	0.106	0.305	8.470e-04	-0.571	0.754	0.086	0.374	-0.159	0.588	-0.169	0.011	-0.580	0.498	0.267	1.000	-0.062	0.922	0.116	0.203	-0.402	0.701	0.212	0.003	-0.874	1.000	0.000e+00	0.006	-0.723
YOL140W	ARG8	Acetylornithine aminotransferase, catalyzes the fourth step in the biosynthesis of the arginine precursor ornithine	protein_coding	1	1	0	0.002	-1.608	0.006	-0.563	0.162	-0.456	1.584e-04	-1.309	0.171	-0.337	0.420	-0.173	0.911	0.016	1.000	0.000e+00	0.860	-0.141	0.008	-1.158	0.783	-0.147	0.065	-0.590	1.000	0.035	0.717	-0.146	0.261	0.228	0.254	0.248
YGL086W	MAD1	Coiled-coil protein involved in the spindle-assembly checkpoint; phosphorylated by Mps1p upon checkpoint activation which leads to inhibition of the activity of the anaphase promoting complex; forms a complex with Mad2p	protein_coding	1	1	0	0.035	-1.355	0.011	-0.830	0.027	-0.825	8.766e-05	-2.078	0.762	0.238	0.899	0.155	0.302	0.590	1.000	0.000e+00	1.000	0.000e+00	0.510	-0.800	0.821	-0.601	0.697	-0.466	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00
YOR062C	YOR062C	hypothetical protein	protein_coding	1	1	0	0.403	0.337	0.046	0.621	8.733e-04	1.010	0.015	0.653	0.561	0.325	0.160	0.535	0.402	0.409	0.045	0.678	0.114	0.847	0.011	1.150	0.002	1.660	0.230	0.531	1.000	0.156	0.073	0.977	0.180	0.599	0.509	0.409
YDR373W	FRQ1	N-myristoylated calcium-binding protein that may have a role in intracellular signaling through its regulation of the phosphatidylinositol 4-kinase Pik1p; member of the recoverin/frequenin branch of the EF-hand superfamily	protein_coding	1	1	0	0.291	-0.502	0.355	-0.365	0.455	-0.301	0.072	-0.542	0.521	0.242	0.400	0.263	1.000	0.000e+00	1.000	-0.127	0.837	0.154	1.000	-0.131	1.000	-0.032	1.000	0.000e+00	0.971	0.215	0.767	0.273	0.999	0.000e+00	0.966	0.019
YMR292W	GOT1	Homodimeric protein that is packaged into COPII vesicles and cycles between the ER and Golgi; involved in secretory transport but not directly required for aspects of transport assayed in vitro; may influence membrane composition	protein_coding	1	1	1	0.007	-1.175	0.004	-0.817	1.000	0.000e+00	1.000	0.000e+00	0.529	-0.200	0.827	-0.115	1.000	0.000e+00	1.000	0.000e+00	0.307	-0.637	0.084	-0.758	1.000	0.000e+00	1.000	0.000e+00	0.686	-0.473	0.547	-0.333	0.995	0.000e+00	1.000	0.000e+00
YOL142W	RRP40	Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; predicted to contain both S1 and KH RNA binding domains; has similarity to human hRrp40p (EXOSC3)	protein_coding	1	1	0	0.004	-0.991	0.031	-0.449	0.012	-0.611	5.339e-05	-1.035	0.001	-0.891	0.015	-0.428	0.168	-0.379	0.009	-0.552	0.024	-0.780	0.004	-0.853	0.059	-0.533	0.004	-0.950	0.123	-0.619	0.056	-0.532	0.179	-0.401	0.050	-0.547
YLR146W-A	YLR146W-A	Putative protein of unknown function	protein_coding	1	1	0	0.116	-0.881	0.746	-0.221	0.209	-0.503	0.037	-0.957	0.585	-0.270	0.953	0.076	1.000	0.000e+00	0.028	-0.924	0.571	-0.469	0.213	-0.508	0.230	-0.892	0.156	-0.764	1.000	-0.192	0.935	-0.056	0.799	-0.350	0.351	-0.581
YGR229C	SMI1	Protein involved in the regulation of cell wall synthesis; proposed to be involved in coordinating cell cycle progression with cell wall integrity	protein_coding	1	1	0	0.332	-0.490	0.006	-0.455	0.004	-0.624	5.339e-05	-1.323	0.085	-0.293	0.025	-0.333	0.209	-0.274	4.359e-04	-0.693	0.026	-0.587	1.988e-04	-1.229	0.176	-0.380	1.498e-04	-1.180	0.858	-0.145	0.002	-0.791	0.464	-0.197	0.003	-0.694
YPR144C	NOC4	Nucleolar protein, forms a complex with Nop14p that mediates maturation and nuclear export of 40S ribosomal subunits	protein_coding	1	1	0	2.621e-04	-1.577	2.945e-04	-0.782	3.913e-04	-0.752	5.339e-05	-2.008	2.709e-04	-1.972	8.493e-04	-0.671	0.005	-0.820	8.612e-05	-1.511	6.510e-04	-1.442	1.988e-04	-2.653	0.067	-0.518	1.115e-04	-1.871	0.019	-0.826	3.352e-04	-1.479	0.031	-0.554	3.228e-04	-1.120
YPR011C	YPR011C	Putative transporter, member of the mitochondrial carrier family; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	protein_coding	1	1	0	0.778	-0.302	1.000	0.000e+00	1.000	-0.032	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.525	-0.327	1.000	0.000e+00	0.431	0.280	0.592	-0.230	1.000	-0.148	1.000	0.086	1.000	0.000e+00	0.725	-0.221	1.000	0.000e+00	0.390	0.430
YKR067W	GPT2	Glycerol-3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase located in lipid particles and the ER; involved in the stepwise acylation of glycerol-3-phosphate and dihydroxyacetone in lipid biosynthesis	protein_coding	1	1	0	2.245e-04	1.377	2.291e-04	1.068	1.489e-04	1.142	5.339e-05	0.999	0.001	0.674	0.006	0.437	0.883	0.061	0.026	-0.403	0.001	0.964	1.988e-04	1.144	0.001	0.876	0.005	0.699	0.184	0.489	0.287	0.321	0.566	0.140	0.142	-0.386
YPR143W	RRP15	Nucleolar protein, constituent of pre-60S ribosomal particles; required for proper processing of the 27S pre-rRNA at the A3 and B1 sites to yield mature 5.8S and 25S rRNAs	protein_coding	1	1	0	6.939e-04	-3.575	2.945e-04	-1.978	1.489e-04	-3.375	5.339e-05	-4.599	0.001	-2.078	0.006	-1.012	0.082	-0.882	0.001	-1.822	0.061	-1.797	0.001	-3.934	0.003	-2.885	0.002	-3.049	0.084	-1.359	0.039	-1.758	0.051	-1.165	0.011	-1.623
YDR379C-A	YDR379C-A	hypothetical protein	protein_coding	1	1	0	0.038	1.227	0.008	1.364	2.316e-04	2.428	1.704e-04	2.064	0.006	1.517	0.003	1.561	0.002	2.292	1.331e-04	2.312	0.126	1.012	0.057	1.024	0.016	1.639	0.004	1.827	0.119	1.329	0.030	1.437	0.008	1.993	8.261e-04	2.343
YLR438W	CAR2	L-ornithine transaminase (OTAse), catalyzes the second step of arginine degradation, expression is dually-regulated by allophanate induction and a specific arginine induction process; not nitrogen catabolite repression sensitive	protein_coding	1	1	0	2.245e-04	2.715	2.291e-04	2.135	1.489e-04	2.398	5.339e-05	1.594	2.709e-04	2.123	5.282e-04	1.580	6.151e-04	1.748	0.003	0.636	6.510e-04	1.688	7.469e-04	1.328	2.649e-04	1.813	0.036	0.870	0.007	1.597	0.885	0.183	0.022	1.446	1.000	0.000e+00
YDR034W-B	YDR034W-B	hypothetical protein	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.489e-04	3.597	5.339e-05	4.715	1.000	0.000e+00	1.000	0.000e+00	7.108e-04	5.117	2.142e-04	5.580	1.000	0.000e+00	2.786e-04	3.214	2.649e-04	3.543	1.115e-04	3.979	1.000	0.000e+00	1.000	0.000e+00	5.854e-04	3.378	1.727e-04	4.089
YNL082W	PMS1	ATP-binding protein required for mismatch repair in mitosis and meiosis; functions as a heterodimer with Mlh1p, binds double- and single-stranded DNA via its N-terminal domain, similar to E. coli MutL	protein_coding	1	1	0	0.016	-1.864	0.024	-0.855	0.221	-0.498	0.007	-0.994	1.000	-0.009	0.556	-0.335	1.000	0.102	1.000	0.000e+00	0.768	-0.741	0.509	-0.936	0.799	-0.636	1.000	-0.461	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00
YAL014C	SYN8	Endosomal SNARE related to mammalian syntaxin 8	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.026	0.087	0.224	1.000	0.007	0.714	-0.108	1.000	0.000e+00	0.068	0.253	1.000	0.000e+00	1.000	0.000e+00	1.000	0.006	1.000	0.033	1.000	0.062	0.254	0.316	0.392	0.204	0.308	0.181
YGL085W	LCL3	Putative protein of unknown function; mutant has long chronological lifespan; has homology to Staphylococcus aureus nuclease; GFP-fusion protein localizes to mitochondria; is induced in response to the DNA-damaging agent MMS	protein_coding	1	1	0	0.049	-1.130	0.325	-0.305	0.121	-0.598	0.035	-0.698	0.732	-0.203	1.000	-0.007	1.000	-0.004	1.000	0.000e+00	1.000	0.000e+00	1.000	-0.201	1.000	-0.412	1.000	0.000e+00	1.000	-0.055	1.000	0.000e+00	1.000	0.000e+00	0.943	0.064
YKR068C	BET3	Hydrophilic protein that acts in conjunction with SNARE proteins in targeting and fusion of ER to Golgi transport vesicles; component of the TRAPP (transport protein particle) complex	protein_coding	1	1	0	0.009	-1.360	0.019	-0.777	0.685	-0.169	2.402e-04	-1.380	1.000	0.000e+00	1.000	0.015	0.509	0.438	0.313	0.285	1.000	-0.384	1.000	-0.357	1.000	-0.300	1.000	-0.003	1.000	-0.128	0.224	0.500	0.393	0.304	0.198	0.439
YHR192W	YHR192W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS	protein_coding	1	1	0	1.000	0.013	1.000	0.000e+00	0.395	0.182	0.829	0.075	0.684	0.165	0.186	0.303	0.012	0.697	0.002	0.628	1.000	0.000e+00	1.000	0.008	0.547	0.158	0.681	0.096	1.000	0.145	0.156	0.451	0.192	0.337	0.090	0.467
YAL013W	DEP1	Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation	protein_coding	1	1	0	0.102	0.375	0.294	0.165	0.310	0.176	0.011	0.354	1.000	0.091	0.891	-0.065	1.000	0.000e+00	0.694	0.063	1.000	0.000e+00	0.861	-0.255	1.000	0.025	1.000	0.027	1.000	0.085	0.332	-0.350	1.000	0.000e+00	1.000	0.000e+00
YJL198W	PHO90	Low-affinity phosphate transporter; deletion of pho84, pho87, pho89, pho90, and pho91 causes synthetic lethality; transcription independent of Pi and Pho4p activity; overexpression results in vigorous growth	protein_coding	1	1	0	0.002	-1.639	0.006	-0.614	5.096e-04	-0.882	5.339e-05	-3.511	2.709e-04	-1.681	0.002	-0.708	0.001	-1.077	8.612e-05	-3.024	7.693e-04	-1.527	1.988e-04	-3.144	0.111	-0.479	1.115e-04	-3.225	0.011	-0.939	3.352e-04	-2.820	0.066	-0.547	1.727e-04	-2.424
YDR374C	YDR374C	hypothetical protein	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00
YCL068C	YCL068C	hypothetical protein	protein_coding	1	1	0	0.002	1.468	0.003	1.020	1.000	0.000e+00	3.865e-04	1.110	1.000	0.000e+00	0.738	0.249	0.500	0.346	1.000	0.000e+00	0.532	0.284	0.008	0.916	0.085	0.619	0.084	0.556	1.000	0.000e+00	1.000	0.000e+00	1.000	0.133	0.553	0.351
YJL066C	MPM1	Mitochondrial membrane protein of unknown function, contains no hydrophobic stretches	protein_coding	1	1	0	2.245e-04	1.558	2.291e-04	1.175	1.489e-04	1.280	5.339e-05	1.735	0.003	0.654	0.002	0.753	0.230	0.276	8.612e-05	1.048	0.020	0.757	6.092e-04	1.191	0.005	0.950	4.351e-04	1.268	0.365	0.412	0.008	0.939	1.000	0.000e+00	0.039	0.590
YHR193C	EGD2	Alpha subunit of the heteromeric nascent polypeptide-associated complex (NAC) involved in protein sorting and translocation, associated with cytoplasmic ribosomes	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	5.339e-05	-1.090	0.335	-0.154	0.170	-0.199	1.000	-0.085	8.612e-05	-1.325	0.296	-0.404	7.902e-04	-0.840	0.721	-0.168	1.115e-04	-1.241	1.000	-0.101	7.297e-04	-0.870	0.216	-0.352	1.727e-04	-1.535
YJL199C	MBB1	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; protein detected in large-scale protein-protein interaction studies	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.420	0.509	0.129	0.784	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.053	1.370	1.000	0.000e+00	1.000	0.055
YOR061W	CKA2	Alpha' catalytic subunit of casein kinase 2 (CK2), a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerase	protein_coding	1	1	0	0.076	-0.448	0.049	-0.366	0.019	-0.492	0.010	-0.529	0.016	-0.500	0.010	-0.456	0.114	-0.390	0.100	-0.290	0.058	-0.522	0.004	-0.761	0.082	-0.490	0.002	-0.807	0.637	-0.246	0.112	-0.418	0.263	-0.341	0.029	-0.595
YLR305C	STT4	Phosphatidylinositol-4-kinase that functions in the Pkc1p protein kinase pathway; required for normal vacuole morphology, cell wall integrity, and actin cytoskeleton organization	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	0.322	-0.285	5.339e-05	-1.264	0.051	-0.422	0.165	-0.242	0.039	-0.642	8.612e-05	-1.273	0.938	-0.159	0.028	-0.588	1.000	-0.113	1.668e-04	-1.252	0.834	-0.218	0.032	-0.667	0.737	-0.209	7.839e-04	-1.167
YHL011C	PRS3	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes	protein_coding	1	1	0	2.245e-04	-1.220	0.007	-0.453	0.046	-0.375	5.339e-05	-2.466	2.709e-04	-1.013	0.069	-0.272	0.033	-0.484	8.612e-05	-1.416	0.013	-0.684	1.988e-04	-1.554	0.224	-0.359	1.115e-04	-1.781	0.195	-0.409	0.008	-0.636	0.484	-0.206	8.335e-04	-0.835
YPR170W-B	YPR170W-B	Putative protein of unknown function, conserved in fungi; partially overlaps the dubious genes YPR169W-A, YPR170W-A and YRP170C	protein_coding	1	1	1	1.000	0.000e+00	0.564	0.125	0.211	0.273	0.372	-0.226	0.708	-0.116	1.000	6.309e-04	0.455	0.137	0.914	0.016	0.469	-0.283	0.356	-0.236	0.579	0.155	0.509	-0.217	0.984	-0.186	0.400	-0.228	0.664	0.095	0.874	0.032
YPR170W-A	YPR170W-A	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by expression profiling and mass spectrometry	protein_coding	1	1	0	1.000	0.000e+00	0.513	0.286	2.316e-04	1.611	5.339e-05	1.878	1.000	-0.115	0.852	0.144	0.002	1.885	8.612e-05	2.206	1.000	0.000e+00	1.000	0.000e+00	0.002	2.130	5.939e-04	2.156	1.000	-0.348	0.612	-0.383	0.010	1.543	0.001	1.907
YMR293C	HER2	Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; required for remodeling of ER caused by Hmg2p overexpression; similar to bacterial GatA glutamyl-tRNA amidotransferase	protein_coding	1	1	0	0.566	0.173	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	0.682	0.147	1.000	0.000e+00	0.265	-0.305	0.365	-0.193	0.028	0.659	0.017	0.673	1.000	0.000e+00	0.166	0.301	1.000	-0.003	1.000	0.000e+00	0.543	-0.273	1.000	-0.040
YOL010W	RCL1	Endonuclease that cleaves pre-rRNA at site A2 for 18S rRNA biogenesis; subunit of U3-containing 90S preribosome processome complex involved in small ribosomal subunit assembly; stimulates Bms1p GTPase and U3 binding activity; similar to RNA cyclase- /.../roteins but no cyclase activity detected	protein_coding	1	1	0	2.245e-04	-3.907	2.291e-04	-1.383	1.000	-0.027	1.175e-04	-0.884	2.709e-04	-4.226	6.646e-04	-1.151	0.256	0.182	0.617	0.076	0.004	-1.480	2.323e-04	-3.278	0.875	0.070	1.000	0.000e+00	0.009	-1.128	9.451e-04	-1.285	0.016	0.473	0.008	0.535
YDR110W	FOB1	Nucleolar protein that binds the rDNA replication fork barrier (RFB) site; required for replication fork blocking, recombinational hotspot activity, condensin recruitment to RFB and rDNA repeat segregation; related to retroviral integrases	protein_coding	1	1	0	0.001	-2.154	6.184e-04	-1.024	0.006	-0.923	0.964	-0.069	5.812e-04	-1.559	0.004	-0.847	0.071	-0.623	0.103	-0.481	0.049	-0.994	0.361	-0.268	0.644	-0.220	1.000	0.000e+00	0.461	-0.480	1.000	0.000e+00	0.275	-0.430	0.984	-0.081
YMR160W	YMR160W	hypothetical protein	protein_coding	1	1	0	2.536e-04	1.541	2.945e-04	0.995	0.002	0.713	1.366e-04	0.921	8.597e-04	1.007	0.001	0.905	0.969	0.037	1.000	-0.039	0.002	1.106	1.988e-04	1.396	0.009	0.774	0.004	0.864	0.049	0.753	0.002	1.143	0.758	0.075	0.932	0.094
YHL014C	YLF2	Protein of unknown function, has weak similarity to E. coli GTP-binding protein gtp1; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	protein_coding	1	1	0	0.138	-1.127	0.502	-0.326	0.085	-0.931	0.046	-0.731	1.000	0.000e+00	0.884	-0.235	1.000	0.000e+00	1.000	0.000e+00	1.000	-0.195	1.000	-0.055	0.656	-0.816	1.000	-0.161	1.000	-0.022	0.467	0.522	1.000	-0.019	0.628	0.234
YPR147C	YPR147C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	0.087	-0.504	1.000	-0.006	0.966	0.055	0.511	0.109	0.240	-0.325	1.000	0.000e+00	1.000	-0.058	1.000	0.000e+00	0.855	-0.178	0.577	-0.214	1.000	-0.113	0.943	0.079	0.767	-0.153	0.175	-0.365
YDR376W	ARH1	Oxidoreductase of the mitochondrial inner membrane, involved in cytoplasmic and mitochondrial iron homeostasis and required for activity of Fe-S cluster-containing enzymes; one of the few mitochondrial proteins essential for viability	protein_coding	1	1	0	1.000	0.000e+00	0.258	0.235	0.408	0.197	1.094e-04	0.836	0.429	0.216	0.149	0.370	0.583	0.127	2.703e-04	0.877	0.248	0.457	0.068	0.545	0.999	0.000e+00	0.006	0.724	1.000	0.104	0.062	0.557	1.000	0.000e+00	0.074	0.486
YPR014C	YPR014C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; YPR014C is not an essential gene	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	3.095e-04	3.467	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00
YOR194C	TOA1	TFIIA large subunit; involved in transcriptional activation, acts as antirepressor or as coactivator; homologous to largest and second largest subunits of human and Drosophila TFIIA	protein_coding	1	1	0	1.000	-0.084	0.119	-0.334	0.105	-0.433	0.390	-0.213	0.731	-0.152	0.144	-0.335	1.000	0.000e+00	0.421	-0.316	1.000	-0.069	0.532	-0.178	0.862	-0.143	1.000	0.000e+00	1.000	-0.169	0.722	-0.173	0.370	-0.424	0.483	-0.258
YPL229W	YPL229W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YPL229W is not an essential gene	protein_coding	1	1	0	0.004	0.806	0.056	0.365	9.880e-04	0.767	5.339e-05	0.990	1.000	-0.010	0.800	-0.079	0.823	0.116	1.000	0.000e+00	1.000	0.077	0.161	0.502	0.101	0.470	0.104	0.479	1.000	-0.071	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00
YMR316C-B	YMR316C-B	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data	protein_coding	1	1	0	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.066	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00	1.000	0.000e+00
YGR225W	AMA1	Activator of meiotic anaphase promoting complex (APC/C); Cdc20p family member; required for initiation of spore wall assembly; required for Clb1p degradation during meiosis	protein_coding	1	1	1	8.707e-04	2.756	5.146e-04	2.567	2.316e-04	2.556	5.339e-05	3.298	0.061	1.238	0.023	1.449	1.000	0.000e+00	1.000	0.000e+00	9.132e-04	2.946	1.988e-04	3.400	4.711e-04	3.099	1.115e-04	3.831	0.719	0.695	1.000	0.000e+00	0.292	0.848	0.023	1.684
